code,name,market
108490,로보티즈,KOSDAQ
257720,실리콘투,KOSDAQ
145020,휴젤,KOSDAQ
310210,보로노이,KOSDAQ
440110,파두,KOSDAQ
084370,유진테크,KOSDAQ
214370,케어젠,KOSDAQ
095610,테스,KOSDAQ
357780,솔브레인,KOSDAQ
064760,티씨케이,KOSDAQ
319400,현대무벡스,KOSDAQ
080220,제주반도체,KOSDAQ
131290,티에스이,KOSDAQ
031980,피에스케이홀딩스,KOSDAQ
347850,디앤디파마텍,KOSDAQ
178320,서진시스템,KOSDAQ
067310,하나마이크론,KOSDAQ
237690,에스티팜,KOSDAQ
226950,올릭스,KOSDAQ
010170,대한광통신,KOSDAQ
214150,클래시스,KOSDAQ
032820,우리기술,KOSDAQ
005290,동진쎄미켐,KOSDAQ
140410,메지온,KOSDAQ
058610,에스피지,KOSDAQ
263750,펄어비스,KOSDAQ
083650,비에이치아이,KOSDAQ
098460,고영,KOSDAQ
140860,파크시스템스,KOSDAQ
068760,셀트리온제약,KOSDAQ
096530,씨젠,KOSDAQ
089030,테크윙,KOSDAQ
060370,LS마린솔루션,KOSDAQ
041510,에스엠,KOSDAQ
241710,코스메카코리아,KOSDAQ
007390,네이처셀,KOSDAQ
950160,코오롱티슈진,KOSDAQ
131970,두산테스나,KOSDAQ
089970,브이엠,KOSDAQ
323280,태성,KOSDAQ
030530,원익홀딩스,KOSDAQ
078600,대주전자재료,KOSDAQ
475830,오름테라퓨틱,KOSDAQ
290650,엘앤씨바이오,KOSDAQ
035900,JYP Ent.,KOSDAQ
420770,기가비스,KOSDAQ
039200,오스코텍,KOSDAQ
183300,코미코,KOSDAQ
082920,비츠로셀,KOSDAQ
127120,제이에스링크,KOSDAQ
218410,RFHIC,KOSDAQ
003380,하림지주,KOSDAQ
195940,HK이노엔,KOSDAQ
204270,제이앤티씨,KOSDAQ
043260,성호전자,KOSDAQ
347700,스피어,KOSDAQ
166090,하나머티리얼즈,KOSDAQ
437730,삼현,KOSDAQ
086450,동국제약,KOSDAQ
356860,티엘비,KOSDAQ
232140,와이씨,KOSDAQ
445680,큐리옥스바이오시스템즈,KOSDAQ
036540,SFA반도체,KOSDAQ
124500,아이티센글로벌,KOSDAQ
036830,솔브레인홀딩스,KOSDAQ
950260,인제니아테라퓨틱스(Reg.S),KOSDAQ
293490,카카오게임즈,KOSDAQ
476830,알지노믹스,KOSDAQ
101490,에스앤에스텍,KOSDAQ
056190,SFA,KOSDAQ
119850,지엔씨에너지,KOSDAQ
038500,삼표시멘트,KOSDAQ
100790,미래에셋벤처투자,KOSDAQ
458870,씨어스,KOSDAQ
014620,성광벤드,KOSDAQ
491000,리브스메드,KOSDAQ
065350,신성델타테크,KOSDAQ
252990,샘씨엔에스,KOSDAQ
083450,GST,KOSDAQ
099320,쎄트렉아이,KOSDAQ
031330,에스에이엠티,KOSDAQ
041830,인바디,KOSDAQ
213420,덕산네오룩스,KOSDAQ
090710,휴림로봇,KOSDAQ
388720,유일로보틱스,KOSDAQ
281740,레이크머티리얼즈,KOSDAQ
417200,LS머트리얼즈,KOSDAQ
032190,다우데이타,KOSDAQ
033100,제룡전기,KOSDAQ
251970,펌텍코리아,KOSDAQ
115180,큐리언트,KOSDAQ
090360,로보스타,KOSDAQ
085660,차바이오텍,KOSDAQ
122870,와이지엔터테인먼트,KOSDAQ
093320,케이아이엔엑스,KOSDAQ
225570,넥슨게임즈,KOSDAQ
456160,지투지바이오,KOSDAQ
171090,선익시스템,KOSDAQ
035760,CJ ENM,KOSDAQ
006730,서부T&D,KOSDAQ
137400,피엔티,KOSDAQ
388210,씨엠티엑스,KOSDAQ
023160,태광,KOSDAQ
074600,원익QnC,KOSDAQ
328130,루닛,KOSDAQ
189300,인텔리안테크,KOSDAQ
041960,코미팜,KOSDAQ
094170,동운아나텍,KOSDAQ
476060,온코닉테라퓨틱스,KOSDAQ
053800,안랩,KOSDAQ
253450,스튜디오드래곤,KOSDAQ
044490,태웅,KOSDAQ
122640,예스티,KOSDAQ
466100,클로봇,KOSDAQ
059090,미코,KOSDAQ
161580,필옵틱스,KOSDAQ
060250,NHN KCP,KOSDAQ
102710,이엔에프테크놀로지,KOSDAQ
048410,현대바이오,KOSDAQ
327260,RF머트리얼즈,KOSDAQ
222080,SFA넥셀,KOSDAQ
032500,케이엠더블유,KOSDAQ
121600,나노신소재,KOSDAQ
079940,가비아,KOSDAQ
052400,코나아이,KOSDAQ
425420,티에프이,KOSDAQ
295310,에이치브이엠,KOSDAQ
046890,서울반도체,KOSDAQ
160190,하이젠알앤엠,KOSDAQ
033790,피노,KOSDAQ
052020,에스티큐브,KOSDAQ
033500,동성화인텍,KOSDAQ
